date,cmname,unit,category,price,currency,country,admname,adm1id,mktname,mktid,cmid,ptid,umid,catid,sn,prev_price
2/15/2011,Wheat flour - Retail,KG,cereals and tubers,30.88,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,30.5
3/15/2011,Wheat flour - Retail,KG,cereals and tubers,31.0,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,30.88
4/15/2011,Wheat flour - Retail,KG,cereals and tubers,31.0,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,31.0
5/15/2011,Wheat flour - Retail,KG,cereals and tubers,30.25,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,31.0
6/15/2011,Wheat flour - Retail,KG,cereals and tubers,30.0,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,30.25
7/15/2011,Wheat flour - Retail,KG,cereals and tubers,30.38,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,30.0
8/15/2011,Wheat flour - Retail,KG,cereals and tubers,30.0,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,30.38
9/15/2011,Wheat flour - Retail,KG,cereals and tubers,30.0,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,30.0
10/15/2011,Wheat flour - Retail,KG,cereals and tubers,30.0,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,30.0
11/15/2011,Wheat flour - Retail,KG,cereals and tubers,30.0,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,30.0
12/15/2011,Wheat flour - Retail,KG,cereals and tubers,31.5,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,30.0
1/15/2012,Wheat flour - Retail,KG,cereals and tubers,32.5,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,31.5
2/15/2012,Wheat flour - Retail,KG,cereals and tubers,32.5,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,32.5
3/15/2012,Wheat flour - Retail,KG,cereals and tubers,32.7,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,32.5
4/15/2012,Wheat flour - Retail,KG,cereals and tubers,33.0,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,32.7
5/15/2012,Wheat flour - Retail,KG,cereals and tubers,33.0,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,33.0
6/15/2012,Wheat flour - Retail,KG,cereals and tubers,33.0,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,33.0
7/15/2012,Wheat flour - Retail,KG,cereals and tubers,33.0,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,33.0
8/15/2012,Wheat flour - Retail,KG,cereals and tubers,33.0,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,33.0
9/15/2012,Wheat flour - Retail,KG,cereals and tubers,34.0,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,33.0
10/15/2012,Wheat flour - Retail,KG,cereals and tubers,34.0,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,34.0
11/15/2012,Wheat flour - Retail,KG,cereals and tubers,34.0,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,34.0
12/15/2012,Wheat flour - Retail,KG,cereals and tubers,34.0,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,34.0
1/15/2013,Wheat flour - Retail,KG,cereals and tubers,35.2,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,34.0
2/15/2013,Wheat flour - Retail,KG,cereals and tubers,35.5,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,35.2
3/15/2013,Wheat flour - Retail,KG,cereals and tubers,35.5,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,35.5
4/15/2013,Wheat flour - Retail,KG,cereals and tubers,35.5,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,35.5
5/15/2013,Wheat flour - Retail,KG,cereals and tubers,35.5,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,35.5
6/15/2013,Wheat flour - Retail,KG,cereals and tubers,37.75,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,35.5
7/15/2013,Wheat flour - Retail,KG,cereals and tubers,40.0,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,37.75
8/15/2013,Wheat flour - Retail,KG,cereals and tubers,40.0,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,40.0
